lon,lat,time
-2.917537,47.548797,2024-06-26T18:34:42+02:00
-2.917907,47.54868,2024-06-26T18:35:06+02:00
-2.918241,47.548607,2024-06-26T18:35:29+02:00
-2.918557,47.548534,2024-06-26T18:35:47+02:00
-2.918946,47.54841,2024-06-26T18:36:11+02:00
-2.919036,47.548176,2024-06-26T18:37:46+02:00
-2.919004,47.547902,2024-06-26T18:38:18+02:00
-2.918989,47.547624,2024-06-26T18:38:42+02:00
-2.918811,47.547383,2024-06-26T18:39:07+02:00
-2.918474,47.547271,2024-06-26T18:39:30+02:00
-2.918174,47.547122,2024-06-26T18:39:55+02:00
-2.917997,47.546846,2024-06-26T18:40:18+02:00
-2.917819,47.546582,2024-06-26T18:40:43+02:00
-2.917677,47.546344,2024-06-26T18:41:06+02:00
-2.917509,47.546099,2024-06-26T18:41:31+02:00
-2.917289,47.54587,2024-06-26T18:41:55+02:00
-2.916917,47.545837,2024-06-26T18:42:18+02:00
-2.916531,47.545867,2024-06-26T18:42:42+02:00
-2.916204,47.545763,2024-06-26T18:43:06+02:00
-2.916043,47.545557,2024-06-26T18:43:30+02:00
-2.915773,47.545413,2024-06-26T18:45:24+02:00
-2.915526,47.545583,2024-06-26T18:46:12+02:00
-2.915341,47.545821,2024-06-26T18:46:42+02:00
-2.914976,47.545917,2024-06-26T18:47:06+02:00
-2.91459,47.545971,2024-06-26T18:47:30+02:00
-2.914187,47.545952,2024-06-26T18:47:54+02:00
-2.913805,47.545953,2024-06-26T18:48:19+02:00
-2.913465,47.545902,2024-06-26T18:48:42+02:00
-2.913165,47.545735,2024-06-26T18:49:11+02:00
-2.912975,47.545507,2024-06-26T18:49:36+02:00
-2.912756,47.545316,2024-06-26T18:50:00+02:00
-2.912589,47.545067,2024-06-26T18:50:24+02:00
-2.912402,47.544817,2024-06-26T18:50:48+02:00
-2.912281,47.544494,2024-06-26T18:51:12+02:00
-2.912152,47.544233,2024-06-26T18:51:36+02:00
-2.912154,47.543905,2024-06-26T18:52:06+02:00
-2.912053,47.543611,2024-06-26T18:52:36+02:00
-2.911919,47.543331,2024-06-26T18:54:06+02:00
-2.912066,47.543066,2024-06-26T18:54:36+02:00
-2.912295,47.542882,2024-06-26T18:55:00+02:00
-2.912207,47.542617,2024-06-26T18:55:24+02:00
-2.912051,47.542414,2024-06-26T18:56:00+02:00
-2.911767,47.542229,2024-06-26T18:56:24+02:00
-2.911442,47.542103,2024-06-26T18:57:12+02:00
-2.911092,47.541966,2024-06-26T18:57:36+02:00
-2.9107,47.541859,2024-06-26T18:58:00+02:00
-2.910302,47.541766,2024-06-26T18:58:25+02:00
-2.90988,47.541736,2024-06-26T18:58:48+02:00
-2.909525,47.541752,2024-06-26T18:59:10+02:00
-2.909324,47.541981,2024-06-26T18:59:36+02:00
-2.909202,47.542244,2024-06-26T19:00:00+02:00
-2.908918,47.542451,2024-06-26T19:00:25+02:00
-2.908562,47.542518,2024-06-26T19:00:48+02:00
-2.908233,47.542595,2024-06-26T19:16:12+02:00
-2.907901,47.542567,2024-06-26T19:16:35+02:00
-2.907662,47.542766,2024-06-26T19:17:11+02:00
-2.907669,47.543018,2024-06-26T19:17:34+02:00
-2.907659,47.543272,2024-06-26T19:17:54+02:00
-2.907539,47.543533,2024-06-26T19:18:18+02:00
-2.907629,47.543859,2024-06-26T19:18:47+02:00
-2.907632,47.544123,2024-06-26T19:19:11+02:00
-2.907616,47.544352,2024-06-26T19:19:35+02:00
-2.907661,47.54461,2024-06-26T19:20:00+02:00
-2.907524,47.544838,2024-06-26T19:20:24+02:00
