route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
4-0405,1,Ts5,Bruz (Aire du 8 Mai) <> Saint-Erblon <> Orgères <> Bourgbarré (Houssais),Transport scolaire,3,,BA67A6,FFFFFF,4405
4-0406,1,Ts6,Bruz (Aire du 8 Mai) <> Saint-Erblon <> Orgères <> Laillé (Bossardière),Transport scolaire,3,,F39200,FFFFFF,4406
4-0407,1,Ts7,Bourgbarré (Jardin du Soleil) <> Bruz (Anita Conti),Transport scolaire,3,,4465AD,FFFFFF,4407
4-0408,1,Ts8,Bruz (Brossolette) <> Mordelles (Mordelles Pâtis),Transport scolaire,3,,E30613,FFFFFF,4408
4-0409,1,Ts9,Bruz (Aire du 8 Mai) <> Laillé (Couais),Transport scolaire,3,,13A0DB,FFFFFF,4409
4-0410,1,Ts10,Bruz (Anita Conti) <> Laillé (Châtaigneraie),Transport scolaire,3,,E99D3A,1A171B,4410
4-0411,1,Ts11,Bruz (Aire du 8 Mai) <> Laillé (Château d'Eau),Transport scolaire,3,,E30613,FFFFFF,4411
4-0412,1,Ts12,Bruz (Aire du 8 Mai) <> Laillé (Laillé Eglise),Transport scolaire,3,,336699,FFFFFF,4412
4-0413,1,Ts13,Chartres-de-Bretagne (Vieux Bourg) <> Bruz (Aire du 8 Mai),Transport scolaire,3,,009881,FFFFFF,4413
4-0420,1,Ts20,Nouvoitou (Le Gobigné) <> Vern-sur-Seiche (La Poste),Transport scolaire,3,,E30613,FFFFFF,4420
4-0422,1,Ts22,Chantepie (La Planche) <> Rennes (Galicie),Transport scolaire,3,,FECC00,1A171B,4422
4-0432,1,Ts32,La Chapelle-Thouarault (Cherterie) <> L'Hermitage <> Mordelles (Collège St-Yves),Transport scolaire,3,,E30613,FFFFFF,4432
4-0433,1,Ts33,Le Rheu (Moigné) <> Mordelles (Collège St-Yves),Transport scolaire,3,,BA67A6,FFFFFF,4433
4-0434,1,Ts34,L'Hermitage (Rue de Montfort) <> Mordelles (Collège St-Yves),Transport scolaire,3,,FECC00,1A171B,4434
4-0435,1,Ts35,Mordelles (Morvan Lebesque) <> Le Verger (Breil),Transport scolaire,3,,009FE3,FFFFFF,4435
4-0436,1,Ts36,Cintré (Chêne Lierru) <> Mordelles (Morvan Lebesque),Transport scolaire,3,,F39200,FFFFFF,4436
4-0437,1,Ts37,La Chapelle-Thouarault (Ville aux Archers) <> Mordelles (Collège St-Yves),Transport scolaire,3,,4465AD,FFFFFF,4437
4-0438,1,Ts38,Cintré (Belle Arrivée) <> Mordelles (Morvan Lebesque),Transport scolaire,3,,702283,FFFFFF,4438
4-0441,1,Ts41,La Chapelle-des-Fougeretz (Bersandières) <> Montgermont <> Pacé (Centre scolaire Pacé),Transport scolaire,3,,F39200,FFFFFF,4441
4-0443,1,Ts43,Pacé (Centre scolaire Pacé) <> Saint-Gilles (Etang de la Motte),Transport scolaire,3,,FECC00,1A171B,4443
4-0444,1,Ts44,Gévezé (Cheval Blanc) <> Pacé (Centre scolaire Pacé),Transport scolaire,3,,96C11F,FFFFFF,4444
4-0445,1,Ts45,Gévezé (Huchetais) <> Pacé (Centre scolaire Pacé),Transport scolaire,3,,E30613,FFFFFF,4445
4-0446,1,Ts46,Pacé (Bas Sommier) <> Vezin-le-Coquet <> Pacé (Centre scolaire Pacé),Transport scolaire,3,,009FE3,FFFFFF,4446
4-0451,1,Ts51,Bourgbarré (Les Cruaux) <> Saint-Erblon <> Orgères (Collège Récipon),Transport scolaire,3,,009FE3,FFFFFF,4451
4-0452,1,Ts52,Noyal-Châtillon-sur-Seiche (Abords Launay) <> Saint-Erblon (Collège Saint-Paul),Transport scolaire,3,,FECC00,1A171B,4452
4-0453,1,Ts53,Saint-Erblon (Collège Saint-Paul) <> Orgères <> Bourgbarré <> Laillé (Bossardière),Transport scolaire,3,,E30613,FFFFFF,4453
4-0454,1,Ts54,Saint-Erblon (Souillard) <> Orgères (Collège Récipon),Transport scolaire,3,,F39200,FFFFFF,4454
4-0455,1,Ts55,Laillé (Laillé Collège) <> Laillé (Boulais Pochetière),Transport scolaire,3,,36742F,FFFFFF,4455
4-0457,1,Ts57,Laillé (Laillé Collège) <> Laillé (Gripay),Transport scolaire,3,,009FE3,FFFFFF,4457
4-0461,1,Ts61,Cesson-Sévigné (Lycée Ozanam) <> Cesson-Sévigné (Prieuré Forge),Transport scolaire,3,,E30613,FFFFFF,4461
4-0466,1,Ts66,Saint-Gilles (Pierre Blanche) <>La Chapelle-Thouarault <> L'Hermitage <> Le Rheu (Collège Brassens),Transport scolaire,3,,009FE3,FFFFFF,4466
4-0467,1,Ts67,Saint-Gilles (Haute Fresnais) <> L'Hermitage <> Le Rheu (Collège Brassens),Transport scolaire,3,,71BF44,1A171B,4467
4-0470,1,RPI-1,La Chapelle-Chaussée (Chapelle-Chaussée) <> Bécherel <> La Chapelle-Chaussée (Chapelle-Chaussée),Transport scolaire,3,,6F2B91,FFFFFF,4470
4-0471,1,Ts71,Langan (Rouaudière) <> Romillé (Romillé Collège),Transport scolaire,3,,E30613,FFFFFF,4471
4-0475,1,Ts75,La Chapelle-Chaussée (Chapelle-Chaussée) <> Gevezé <> Saint-Grégoire (Jean-Paul II),Transport scolaire,3,,BA67A6,FFFFFF,4475
4-0482,1,Ts82,Noyal-Châtillon-sur-Seiche (Ise) <> Chartres-de-Bretagne (Collège Pôle Sud),Transport scolaire,3,,96BF0D,FFFFFF,4482
4-0491,1,Ts91,Rennes (Collège Rosa-Parks) <> Vezin-le-Coquet (Vallée),Transport scolaire,3,,B269AB,FFFFFF,4491
